,job_title,salary_usd,experience_level,employment_type,company_location,remote_ratio,required_skills,salary_currency,education_required,years_experience,company_name
23,AI Product Manager,52167,MI,FT,Austria,100,"Git, Hadoop, Docker",USD,Master,4,Cloud AI Solutions
24,ML Ops Engineer,53923,MI,FT,China,0,"AWS, Azure, Git, SQL, Computer Vision",USD,Bachelor,2,AI Innovations
25,Robotics Engineer,109779,SE,PT,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",USD,PhD,6,DataVision Ltd
26,ML Ops Engineer,80979,MI,CT,Australia,50,"Hadoop, Linux, Git, Scala",USD,Master,2,TechCorp Inc
27,Data Analyst,52997,MI,PT,Austria,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",USD,PhD,2,Predictive Systems
28,Head of AI,42819,EN,CT,Ireland,50,"Python, Scala, NLP, Mathematics, Git",USD,PhD,0,Cognitive Computing
29,ML Ops Engineer,82083,MI,CT,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",USD,Master,2,Future Systems
30,Head of AI,67488,EN,FT,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",EUR,Master,1,Advanced Robotics
31,Research Scientist,68624,EN,FT,Denmark,0,"Azure, Python, Spark",USD,Master,1,Cloud AI Solutions
32,Robotics Engineer,146852,SE,FT,Switzerland,50,"NLP, Scala, Python",USD,PhD,7,Cognitive Computing
33,ML Ops Engineer,178183,EX,FL,Finland,0,"Tableau, Azure, GCP, Linux, Python",USD,Associate,16,Predictive Systems
34,Deep Learning Engineer,150864,SE,FL,Sweden,0,"R, GCP, MLOps, Linux",USD,PhD,8,Smart Analytics
35,Head of AI,126942,EX,CT,Finland,0,"Git, Hadoop, Data Visualization",USD,Associate,10,Autonomous Tech
36,AI Architect,53752,MI,PT,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",USD,Associate,2,TechCorp Inc
37,Robotics Engineer,111381,EX,CT,Israel,0,"Linux, PyTorch, SQL, Statistics",USD,Master,18,Autonomous Tech
38,AI Specialist,41430,EN,PT,China,50,"Tableau, Docker, GCP",USD,Bachelor,1,Future Systems
39,Data Engineer,166080,EX,FL,Netherlands,100,"Computer Vision, Azure, Tableau",EUR,Associate,15,DeepTech Ventures
40,Data Scientist,96956,MI,FT,United States,0,"Data Visualization, Azure, Spark, MLOps",USD,Bachelor,2,DataVision Ltd
41,AI Architect,196954,SE,FL,United States,50,"Java, Mathematics, SQL",USD,Bachelor,8,DataVision Ltd
42,AI Specialist,56745,EN,PT,Finland,100,"Spark, Mathematics, GCP",USD,Associate,1,Quantum Computing Inc
43,Machine Learning Researcher,113455,SE,FT,Singapore,50,"Hadoop, Docker, Python, Azure",USD,Associate,8,AI Innovations
44,ML Ops Engineer,158808,SE,PT,Netherlands,50,"Docker, R, Linux",EUR,Bachelor,5,Future Systems
45,AI Research Scientist,174663,SE,CT,United States,50,"Data Visualization, Statistics, R",USD,Associate,7,DeepTech Ventures
46,AI Research Scientist,46753,EN,CT,India,50,"Scala, Java, Tableau",USD,PhD,1,Quantum Computing Inc
47,AI Software Engineer,69020,MI,FL,China,0,"Java, Azure, GCP",USD,Bachelor,4,TechCorp Inc
48,AI Specialist,288815,EX,PT,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",USD,Bachelor,12,Cognitive Computing
49,AI Consultant,124871,EX,FL,Austria,50,"Hadoop, AWS, Linux, Docker, Statistics",USD,PhD,19,Autonomous Tech
50,AI Architect,70391,MI,FT,Germany,0,"Deep Learning, SQL, Mathematics",EUR,PhD,4,TechCorp Inc
51,Research Scientist,115376,EX,FT,India,100,"Linux, R, Azure, Mathematics, Git",USD,Master,17,Autonomous Tech
52,Research Scientist,106579,MI,PT,United States,100,"Docker, Tableau, Mathematics",USD,Associate,3,Cognitive Computing
53,Data Scientist,135230,SE,PT,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",USD,PhD,8,DataVision Ltd
54,Research Scientist,67607,MI,PT,Israel,50,"Python, Tableau, TensorFlow, AWS",USD,Master,4,Quantum Computing Inc
55,AI Architect,88470,MI,PT,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",USD,Associate,3,Autonomous Tech
56,Autonomous Systems Engineer,79863,MI,FL,India,100,"Python, Docker, GCP, Scala",USD,Associate,4,Autonomous Tech
57,Machine Learning Engineer,60299,EN,PT,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",USD,PhD,0,Advanced Robotics
58,Machine Learning Engineer,85645,MI,FT,Germany,0,"PyTorch, Computer Vision, R",EUR,Associate,4,AI Innovations
59,AI Software Engineer,110222,SE,FL,United Kingdom,0,"R, Spark, AWS",GBP,Associate,8,TechCorp Inc
60,Data Scientist,49365,EN,FT,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",USD,Associate,1,Predictive Systems
61,Data Scientist,162296,SE,PT,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",USD,Bachelor,6,Neural Networks Co
62,AI Consultant,102382,MI,PT,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",USD,PhD,3,Smart Analytics
63,AI Software Engineer,99972,MI,PT,Australia,50,"Java, R, Deep Learning, NLP, Azure",USD,PhD,4,Cloud AI Solutions
64,Data Engineer,64129,EN,CT,South Korea,0,"Java, Git, Deep Learning",USD,Bachelor,0,Machine Intelligence Group
65,AI Specialist,87938,SE,FT,Ireland,100,"Mathematics, Spark, Python, AWS",USD,PhD,8,Machine Intelligence Group
66,Autonomous Systems Engineer,71405,MI,FL,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",USD,Associate,4,Advanced Robotics
67,Machine Learning Engineer,316182,EX,PT,Denmark,0,"Python, Scala, Statistics, Git",USD,Associate,12,Digital Transformation LLC
68,Machine Learning Researcher,72459,EN,PT,Germany,100,"Hadoop, Python, Kubernetes, Azure",EUR,Bachelor,0,Quantum Computing Inc
69,Principal Data Scientist,78338,MI,FT,France,100,"MLOps, Kubernetes, Git, Python",EUR,Associate,3,Cognitive Computing
70,NLP Engineer,51907,MI,FL,Israel,100,"AWS, Kubernetes, Azure",USD,Bachelor,4,Neural Networks Co
71,Autonomous Systems Engineer,122831,SE,FL,France,100,"PyTorch, Kubernetes, Git, SQL",EUR,Master,7,Algorithmic Solutions
72,Machine Learning Researcher,124820,MI,FL,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",USD,Associate,3,Cognitive Computing
73,Autonomous Systems Engineer,134200,SE,PT,United Kingdom,50,"Linux, R, Tableau",GBP,PhD,9,Machine Intelligence Group
74,Data Engineer,51920,EN,PT,Sweden,100,"Scala, R, Tableau, Data Visualization",USD,PhD,0,Digital Transformation LLC
75,Data Engineer,56427,EN,FL,Singapore,100,"Mathematics, Kubernetes, Spark",USD,Master,0,DeepTech Ventures
76,AI Product Manager,213783,EX,FT,Canada,100,"Kubernetes, Spark, Statistics, Scala",USD,Bachelor,16,Quantum Computing Inc
77,ML Ops Engineer,59728,MI,FL,Israel,50,"MLOps, SQL, Statistics",USD,Associate,2,DataVision Ltd
78,Computer Vision Engineer,119432,SE,CT,India,0,"Scala, MLOps, NLP",USD,PhD,6,Autonomous Tech
79,AI Research Scientist,284486,EX,CT,United States,0,"PyTorch, Linux, SQL",USD,Master,12,TechCorp Inc
80,Data Analyst,157597,EX,CT,France,50,"Git, Kubernetes, TensorFlow, R, Java",EUR,Bachelor,17,Neural Networks Co
81,ML Ops Engineer,196942,EX,CT,Australia,100,"R, Tableau, SQL, MLOps, Docker",USD,Master,19,TechCorp Inc
82,Machine Learning Researcher,207548,EX,CT,Canada,0,"NLP, Azure, Spark, Data Visualization",USD,PhD,10,Cognitive Computing
83,NLP Engineer,68838,MI,FL,Sweden,50,"Java, SQL, Spark, Tableau, Azure",USD,PhD,3,TechCorp Inc
84,ML Ops Engineer,125666,EX,FL,Finland,100,"Docker, Python, Git, Kubernetes, Java",USD,PhD,13,TechCorp Inc
85,NLP Engineer,73174,EN,FT,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",USD,Associate,0,Machine Intelligence Group
86,Autonomous Systems Engineer,33314,EN,CT,Israel,50,"SQL, Kubernetes, Docker",USD,Bachelor,0,Future Systems
87,AI Specialist,69914,EN,FT,United States,100,"R, NLP, SQL, GCP",USD,Associate,0,Smart Analytics
88,Principal Data Scientist,152118,EX,FL,France,50,"Spark, SQL, Python, Mathematics, Linux",EUR,Master,11,AI Innovations
89,AI Software Engineer,78014,EN,CT,France,50,"PyTorch, Hadoop, Scala, Computer Vision",EUR,PhD,0,Digital Transformation LLC
90,Research Scientist,48466,EN,PT,Canada,100,"Hadoop, Spark, Kubernetes, Python",USD,Bachelor,0,Predictive Systems
91,Data Analyst,97997,SE,CT,France,50,"Hadoop, Python, TensorFlow, R, Statistics",EUR,PhD,8,Algorithmic Solutions
92,Principal Data Scientist,128341,SE,FL,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",USD,Bachelor,9,Neural Networks Co
93,AI Research Scientist,111528,MI,FL,United States,0,"Java, Hadoop, Mathematics",USD,PhD,3,Predictive Systems
94,Machine Learning Researcher,138945,EX,PT,Canada,50,"Linux, R, NLP, PyTorch, Git",USD,Master,19,DeepTech Ventures
95,NLP Engineer,98688,SE,FT,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",USD,Bachelor,8,Cognitive Computing
96,Data Analyst,109029,SE,FT,France,0,"Kubernetes, Scala, Java",EUR,Bachelor,6,Predictive Systems
97,NLP Engineer,84797,MI,FT,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",USD,Master,4,Machine Intelligence Group
98,Machine Learning Researcher,290199,EX,CT,Switzerland,50,"Python, AWS, Kubernetes, Deep Learning",USD,Master,12,Smart Analytics
99,AI Research Scientist,195691,SE,CT,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",USD,PhD,8,Advanced Robotics
100,AI Product Manager,193448,SE,FT,Norway,100,"Scala, Git, Java",USD,Associate,9,Cognitive Computing
101,AI Product Manager,138466,EX,PT,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",USD,Associate,16,Smart Analytics
102,Data Analyst,91577,MI,CT,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",EUR,Bachelor,3,Algorithmic Solutions
103,Computer Vision Engineer,92875,MI,FT,Sweden,0,"SQL, Python, Deep Learning",USD,PhD,3,Digital Transformation LLC
104,Data Engineer,213287,EX,FT,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",GBP,Master,13,Cloud AI Solutions
105,NLP Engineer,62171,MI,FT,Japan,0,"Git, SQL, PyTorch, Mathematics",USD,Bachelor,2,AI Innovations
106,AI Research Scientist,152658,EX,FL,South Korea,50,"Data Visualization, PyTorch, Spark, TensorFlow",USD,Associate,16,TechCorp Inc
107,ML Ops Engineer,95085,MI,FT,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",USD,Associate,2,Predictive Systems
108,Deep Learning Engineer,86750,MI,FL,France,100,"Java, R, Git, Mathematics, Spark",EUR,PhD,2,AI Innovations
109,AI Specialist,64261,MI,PT,Israel,0,"PyTorch, Docker, GCP",USD,Master,2,TechCorp Inc
110,Machine Learning Researcher,205357,EX,PT,United States,100,"Computer Vision, Hadoop, Git, AWS",USD,Bachelor,18,Predictive Systems
111,AI Architect,165676,EX,CT,France,50,"TensorFlow, Linux, SQL, Hadoop",EUR,Associate,18,Neural Networks Co
112,Computer Vision Engineer,114658,SE,CT,France,100,"SQL, Scala, Python",EUR,Bachelor,9,Algorithmic Solutions
113,Data Scientist,143149,SE,FL,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",EUR,Master,6,Digital Transformation LLC
114,Machine Learning Researcher,116276,SE,FL,Germany,50,"Azure, R, Linux, MLOps",EUR,Bachelor,7,Future Systems
115,NLP Engineer,61055,EN,FL,United States,100,"R, AWS, Computer Vision, Statistics, Docker",USD,Bachelor,0,Autonomous Tech
116,ML Ops Engineer,50303,EN,FT,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",USD,Master,0,DataVision Ltd
117,Data Analyst,65570,SE,FL,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",USD,Associate,7,Smart Analytics
118,AI Software Engineer,231078,EX,FL,Singapore,50,"MLOps, R, Git, Mathematics",USD,Bachelor,17,Neural Networks Co
119,AI Product Manager,106633,SE,FT,Australia,100,"Linux, Scala, SQL, Git",USD,Bachelor,9,Algorithmic Solutions
120,AI Specialist,121180,SE,FL,Austria,0,"Git, Deep Learning, Kubernetes, Linux, GCP",USD,Master,9,Quantum Computing Inc
121,Principal Data Scientist,64531,EN,PT,China,50,"Git, SQL, Scala, Python, Computer Vision",USD,PhD,0,Smart Analytics
122,Machine Learning Engineer,125654,MI,CT,Singapore,50,"Python, Tableau, Java",USD,PhD,4,DataVision Ltd
123,Machine Learning Researcher,182275,EX,FT,Austria,0,"Docker, AWS, Linux, Git, Azure",USD,PhD,14,DeepTech Ventures
124,Machine Learning Researcher,117708,MI,FL,Denmark,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",USD,PhD,4,Neural Networks Co
125,Data Engineer,143246,EX,FT,South Korea,0,"Docker, SQL, Kubernetes, Git, Statistics",USD,Master,11,Future Systems
126,AI Product Manager,203198,SE,FT,Denmark,50,"Statistics, R, Python, TensorFlow",USD,Master,5,DeepTech Ventures
127,Research Scientist,69487,EN,CT,Switzerland,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",USD,Master,0,Machine Intelligence Group
128,AI Product Manager,95673,EX,FL,Ireland,0,"GCP, R, Azure, Deep Learning, PyTorch",USD,Associate,17,Neural Networks Co
129,AI Software Engineer,59405,EN,FL,Austria,100,"Spark, Python, Deep Learning, Linux, Java",USD,Bachelor,1,Smart Analytics
130,AI Specialist,131756,SE,PT,Netherlands,0,"AWS, R, Spark",EUR,PhD,5,AI Innovations
131,AI Software Engineer,42835,EN,PT,South Korea,0,"Python, TensorFlow, PyTorch",USD,Bachelor,0,Machine Intelligence Group
132,Autonomous Systems Engineer,61893,EN,FT,Canada,50,"Statistics, Python, SQL",USD,Associate,1,Predictive Systems
133,ML Ops Engineer,141791,EX,CT,France,0,"Hadoop, Azure, Python, R",EUR,PhD,13,Algorithmic Solutions
134,AI Product Manager,258637,EX,PT,United Kingdom,50,"Computer Vision, GCP, Azure, SQL, Python",GBP,Master,11,Cognitive Computing
135,NLP Engineer,49485,MI,FT,Finland,0,"Hadoop, Java, Data Visualization",USD,Associate,2,Cloud AI Solutions
136,Robotics Engineer,172916,SE,PT,Norway,100,"Computer Vision, SQL, PyTorch, Java",USD,Bachelor,8,Smart Analytics
137,Machine Learning Engineer,324557,EX,FT,Denmark,100,"Hadoop, Python, Git, TensorFlow",USD,PhD,11,Machine Intelligence Group
138,AI Consultant,73894,MI,CT,France,50,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",EUR,Bachelor,4,Digital Transformation LLC
139,Principal Data Scientist,122598,SE,FT,Sweden,50,"Linux, AWS, Computer Vision, Deep Learning",USD,Associate,9,Digital Transformation LLC
140,Data Scientist,94478,MI,FL,Denmark,100,"PyTorch, TensorFlow, Hadoop, Python",USD,PhD,4,Algorithmic Solutions
141,Autonomous Systems Engineer,53088,EN,PT,Austria,50,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",USD,PhD,1,Machine Intelligence Group
142,Machine Learning Researcher,116012,MI,FT,Denmark,0,"SQL, MLOps, Python",USD,Master,3,Predictive Systems
143,Deep Learning Engineer,35593,EN,CT,China,0,"Python, Hadoop, Deep Learning",USD,Bachelor,0,AI Innovations
144,AI Product Manager,149053,EX,FT,Austria,0,"GCP, Linux, R, Hadoop",USD,Master,17,Smart Analytics
145,Principal Data Scientist,88230,MI,FT,Austria,0,"TensorFlow, Git, Azure, Python",USD,Associate,4,DeepTech Ventures
146,AI Research Scientist,224919,EX,FL,Australia,100,"Kubernetes, Deep Learning, PyTorch",USD,Associate,19,TechCorp Inc
147,Machine Learning Researcher,220439,EX,PT,Netherlands,100,"SQL, Data Visualization, GCP, Deep Learning, MLOps",EUR,Associate,12,TechCorp Inc
148,NLP Engineer,48861,EN,PT,Finland,100,"GCP, Python, Computer Vision, Git",USD,Bachelor,0,DeepTech Ventures
149,AI Specialist,115841,SE,FL,United States,0,"TensorFlow, Kubernetes, Deep Learning",USD,PhD,7,Quantum Computing Inc
150,NLP Engineer,57266,MI,FL,Ireland,0,"Computer Vision, PyTorch, Linux, TensorFlow",USD,Bachelor,3,Neural Networks Co
151,Deep Learning Engineer,66384,MI,CT,Australia,0,"Git, Tableau, Hadoop, Computer Vision",USD,Associate,2,Autonomous Tech
152,Data Analyst,184637,EX,PT,Sweden,100,"R, SQL, Data Visualization",USD,Bachelor,11,Machine Intelligence Group
153,AI Research Scientist,92445,MI,CT,Netherlands,50,"Linux, Python, Scala, Docker",EUR,Bachelor,4,DataVision Ltd
154,Machine Learning Researcher,57388,EN,FL,Canada,0,"Python, GCP, TensorFlow",USD,Associate,1,Smart Analytics
155,Head of AI,53374,MI,PT,China,0,"Docker, Deep Learning, R",USD,PhD,2,Algorithmic Solutions
156,AI Research Scientist,95716,SE,CT,Finland,50,"Git, Spark, Azure, Statistics",USD,PhD,6,Digital Transformation LLC
157,NLP Engineer,157091,MI,FL,Norway,0,"Python, Java, Kubernetes, SQL, NLP",USD,PhD,2,DataVision Ltd
158,ML Ops Engineer,204144,SE,FL,Norway,100,"Hadoop, Mathematics, Linux",USD,PhD,8,Autonomous Tech
159,AI Software Engineer,190314,EX,CT,Netherlands,100,"GCP, Computer Vision, Scala, AWS, Linux",EUR,PhD,12,Digital Transformation LLC
160,Principal Data Scientist,198403,EX,FL,Denmark,50,"Data Visualization, SQL, Scala",USD,Associate,15,Digital Transformation LLC
161,Research Scientist,153040,SE,CT,Canada,50,"SQL, Tableau, Statistics, GCP",USD,Bachelor,7,Autonomous Tech
162,AI Software Engineer,51898,MI,FL,Israel,0,"Deep Learning, Python, NLP",USD,Associate,2,Machine Intelligence Group
163,AI Architect,115191,SE,FL,Germany,0,"R, AWS, Git, Tableau",EUR,Associate,7,Advanced Robotics
164,ML Ops Engineer,170139,SE,PT,United States,50,"Python, Spark, Hadoop",USD,Bachelor,5,Future Systems
165,ML Ops Engineer,63860,EN,CT,Canada,100,"Linux, TensorFlow, GCP, Docker, Azure",USD,Master,0,Autonomous Tech
166,NLP Engineer,125152,MI,CT,Norway,100,"TensorFlow, Docker, AWS, Spark",USD,PhD,3,Smart Analytics
167,AI Software Engineer,61572,EN,CT,South Korea,50,"Linux, Azure, Kubernetes",USD,Bachelor,0,DataVision Ltd
168,Head of AI,101054,MI,CT,Germany,50,"Statistics, Tableau, Java, Data Visualization, NLP",EUR,Master,3,Autonomous Tech
169,Data Engineer,145355,EX,CT,Canada,100,"Spark, Linux, AWS, Deep Learning",USD,Master,13,DeepTech Ventures
170,Deep Learning Engineer,183484,EX,FT,Singapore,100,"Scala, Data Visualization, TensorFlow, Mathematics, Java",USD,Master,19,Autonomous Tech
171,AI Product Manager,111997,MI,CT,Singapore,100,"PyTorch, Scala, Hadoop, Docker, Computer Vision",USD,PhD,2,Neural Networks Co
172,AI Specialist,214195,EX,PT,United Kingdom,100,"Tableau, GCP, Python",GBP,Bachelor,19,Smart Analytics
173,AI Software Engineer,93211,SE,PT,India,50,"Python, TensorFlow, GCP, Java",USD,Master,9,Machine Intelligence Group
174,Deep Learning Engineer,82209,EN,PT,Germany,100,"Statistics, TensorFlow, Python",EUR,Master,1,Smart Analytics
175,AI Software Engineer,149669,SE,PT,Germany,50,"Scala, Hadoop, Azure",EUR,Associate,9,Predictive Systems
176,AI Software Engineer,56825,MI,PT,China,50,"Linux, Azure, Git, Deep Learning, Spark",USD,Associate,3,AI Innovations
177,Research Scientist,131635,MI,FT,Denmark,50,"Kubernetes, Git, GCP, NLP",USD,PhD,2,TechCorp Inc
178,NLP Engineer,163843,SE,FL,Norway,50,"Scala, Python, Data Visualization, Kubernetes, Statistics",USD,PhD,7,Algorithmic Solutions
179,AI Consultant,73281,MI,CT,India,0,"Deep Learning, Azure, Python",USD,Bachelor,2,Cloud AI Solutions
180,Principal Data Scientist,51907,MI,CT,South Korea,50,"Statistics, AWS, Java, PyTorch",USD,Associate,3,DataVision Ltd
181,NLP Engineer,178240,EX,FL,Netherlands,50,"Python, Spark, TensorFlow",EUR,Bachelor,12,Autonomous Tech
182,Machine Learning Researcher,83226,SE,FT,Ireland,0,"SQL, Docker, Linux, GCP",USD,Master,7,Advanced Robotics
183,AI Product Manager,46995,EN,FT,Austria,100,"PyTorch, NLP, MLOps, Azure",USD,Master,1,DataVision Ltd
184,AI Research Scientist,275296,EX,FT,Switzerland,0,"Docker, Azure, NLP",USD,Associate,14,DataVision Ltd
185,Deep Learning Engineer,300422,EX,PT,Denmark,100,"Python, TensorFlow, R",USD,Bachelor,11,Machine Intelligence Group
186,AI Product Manager,116704,MI,CT,Canada,100,"SQL, PyTorch, NLP, Data Visualization",USD,Bachelor,2,Autonomous Tech
187,AI Specialist,98422,EN,PT,United States,0,"Java, Python, Mathematics",USD,PhD,0,Cloud AI Solutions
188,Machine Learning Researcher,210249,EX,PT,Norway,100,"Mathematics, Docker, Deep Learning",USD,Master,15,Machine Intelligence Group
189,NLP Engineer,67708,MI,FL,South Korea,0,"NLP, R, Scala, Computer Vision, Azure",USD,Master,3,Algorithmic Solutions
190,Data Engineer,95796,EX,FL,Austria,100,"Python, TensorFlow, Scala, AWS",USD,Master,13,Advanced Robotics
191,Head of AI,229098,EX,PT,Denmark,50,"PyTorch, SQL, Kubernetes, Git, Java",USD,Master,17,Predictive Systems
192,ML Ops Engineer,134300,EX,CT,Ireland,50,"Java, Python, Deep Learning, Statistics",USD,Master,11,Predictive Systems
193,AI Specialist,74408,EN,CT,Australia,100,"TensorFlow, Docker, R, NLP, Java",USD,Associate,1,Machine Intelligence Group
194,AI Architect,201971,EX,FT,Netherlands,0,"Java, Scala, Tableau",EUR,PhD,13,Future Systems
195,AI Software Engineer,180764,EX,CT,France,100,"GCP, TensorFlow, Data Visualization",EUR,Master,17,AI Innovations
196,Principal Data Scientist,49644,EN,CT,China,100,"Linux, PyTorch, TensorFlow, Azure, Python",USD,Bachelor,0,Future Systems
197,AI Product Manager,89115,SE,CT,South Korea,50,"MLOps, Python, Linux, NLP",USD,Master,7,Neural Networks Co
198,AI Software Engineer,38540,EN,PT,Austria,0,"Linux, Kubernetes, Spark, Java",USD,Associate,1,Smart Analytics
199,AI Product Manager,180252,SE,FT,United States,50,"TensorFlow, Kubernetes, SQL, Linux, Mathematics",USD,Master,7,Future Systems
200,Robotics Engineer,56585,EN,FT,Netherlands,0,"MLOps, Java, AWS, NLP, PyTorch",EUR,Master,1,Cloud AI Solutions
201,AI Specialist,103942,SE,FL,Sweden,0,"Statistics, Python, TensorFlow",USD,PhD,5,Smart Analytics
202,Autonomous Systems Engineer,176009,SE,FL,United Kingdom,50,"PyTorch, SQL, TensorFlow, Git, Azure",GBP,Bachelor,9,Quantum Computing Inc
203,AI Specialist,59056,MI,CT,Ireland,50,"Scala, SQL, Deep Learning, Statistics, GCP",USD,Associate,2,Predictive Systems
204,AI Consultant,76940,MI,FT,Austria,0,"AWS, Scala, Docker",USD,Associate,3,Cognitive Computing
205,Machine Learning Engineer,110341,SE,CT,United Kingdom,0,"Spark, Kubernetes, Mathematics",GBP,PhD,7,Smart Analytics
206,Data Scientist,102922,MI,FL,United Kingdom,0,"Python, SQL, Git",GBP,Associate,4,Digital Transformation LLC
207,Machine Learning Researcher,44130,EN,FT,Japan,0,"Python, GCP, Docker, Git, Java",USD,Master,0,DataVision Ltd
208,Data Engineer,128112,SE,CT,Singapore,100,"Mathematics, Hadoop, Tableau",USD,Associate,5,Quantum Computing Inc
209,Data Analyst,48892,EN,CT,France,100,"Linux, Python, NLP",EUR,Bachelor,0,DataVision Ltd
210,Research Scientist,127478,MI,CT,United Kingdom,50,"Java, Docker, Hadoop",GBP,Master,4,DataVision Ltd
211,AI Research Scientist,100524,SE,FL,Finland,0,"Python, Kubernetes, Statistics, TensorFlow",USD,PhD,6,TechCorp Inc
212,Deep Learning Engineer,45429,EN,FT,Japan,0,"GCP, Deep Learning, Python, MLOps",USD,Associate,0,Algorithmic Solutions
213,ML Ops Engineer,62262,MI,FT,Austria,100,"R, SQL, AWS, MLOps, Data Visualization",USD,Bachelor,4,AI Innovations
214,AI Specialist,68595,MI,FT,China,50,"Azure, Python, TensorFlow, Data Visualization",USD,Master,4,Machine Intelligence Group
215,AI Software Engineer,301038,EX,PT,Norway,50,"GCP, Azure, Deep Learning, Spark, SQL",USD,PhD,18,Cognitive Computing
